id,id2,condition,sample,Batch,Condition
op_12,12,30,3,1,30
op_13,13,30,4,1,30
op_14,14,30,5,1,30
op_25,25,1,1,1,3
op_26,26,1,2,1,3
op_27,27,1,3,1,3
op_28,28,1,4,1,3
op_5,5,30,1,1,30
op_6,6,30,2,1,30
op_A1,A1,10,4,2,10
op_A3,A3,10,6,2,10
op_B2,B2,10,1,2,10
op_B5,B5,10,3,2,10
op_C4,C4,10,2,2,10
op_C6,C6,10,5,2,10
op_D1,D1,25,1,2,25
op_D3,D3,25,4,2,25
op_E2,E2,25,3,2,25
op_E5,E5,25,2,2,25
op_F6,F6,25,5,2,25
op_OO1,OO1,5,4,2,3
op_OO2,OO2,5,2,2,3
op_OO3,OO3,5,6,2,3
op_OO4,OO4,5,3,2,3
op_OO5,OO5,5,5,2,3
op_OO6,OO6,5,1,2,3
