id,gene,GO,GO name,GO ontology,GO p-value,GO num genes,Pfam top enriched domain,"Pfam top enriched domain, p-value",Pfam num genes,Pfam domain architecture,Pfam domain architecture (all enrichments),Gene name
ACROYT_G000077,Ocupat_v02_G000077,GO:0009267,cellular response to starvation,BP,0.000039,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0019915,lipid storage,BP,0.00037,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0016020,membrane,CC,0.0046,37,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005811,lipid droplet,CC,0.0098,3,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0042149,cellular response to glucose starvation,BP,0.015,2,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0034389,lipid droplet organization,BP,0.016,2,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:1903008,organelle disassembly,BP,0.017,3,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0015849,organic acid transport,BP,0.024,5,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0010889,regulation of sequestering of triglyceri...,BP,0.029,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0010890,positive regulation of sequestering of t...,BP,0.029,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0030730,sequestering of triglyceride,BP,0.029,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0015908,fatty acid transport,BP,0.033,3,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:1905691,lipid droplet disassembly,BP,0.033,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0015718,monocarboxylic acid transport,BP,0.059,3,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0009987,cellular process,BP,0.062,50,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0010884,positive regulation of lipid storage,BP,0.075,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0022411,cellular component disassembly,BP,0.075,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0006869,lipid transport,BP,0.084,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
