id,gene,GO,GO name,GO ontology,GO p-value,GO num genes,Pfam top enriched domain,"Pfam top enriched domain, p-value",Pfam num genes,Pfam domain architecture,Pfam domain architecture (all enrichments),Gene name
ACROYT_G024108,Ocupat_v02_G024108,GO:0030020,extracellular matrix structural constitu...,MF,2.50E-05,4,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0030020,extracellular matrix structural constitu...,MF,2.50E-05,4,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0030020,extracellular matrix structural constitu...,MF,2.50E-05,4,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G002669,Ocupat_v02_G002669,GO:0030020,extracellular matrix structural constitu...,MF,2.50E-05,4,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Srd5a3
ACROYT_G024115,Ocupat_v02_G024115,GO:0005584,collagen type I trimer,CC,3.80E-05,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0005584,collagen type I trimer,CC,3.80E-05,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0005584,collagen type I trimer,CC,3.80E-05,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G006903,Ocupat_v02_G006903,GO:0062151,catalase complex,CC,3.90E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006917,Ocupat_v02_G006917,GO:0062151,catalase complex,CC,3.90E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006917,Ocupat_v02_G006917,GO:0004096,catalase activity,MF,4.10E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006903,Ocupat_v02_G006903,GO:0004096,catalase activity,MF,4.10E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006917,Ocupat_v02_G006917,GO:0061692,cellular detoxification of hydrogen pero...,BP,4.20E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006903,Ocupat_v02_G006903,GO:0061692,cellular detoxification of hydrogen pero...,BP,4.20E-05,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G024115,Ocupat_v02_G024115,GO:0038063,collagen-activated tyrosine kinase recep...,BP,7.30E-05,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0038063,collagen-activated tyrosine kinase recep...,BP,7.30E-05,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0038063,collagen-activated tyrosine kinase recep...,BP,7.30E-05,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0060346,bone trabecula formation,BP,7.30E-05,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0060346,bone trabecula formation,BP,7.30E-05,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0060346,bone trabecula formation,BP,7.30E-05,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0043589,skin morphogenesis,BP,9.30E-05,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0043589,skin morphogenesis,BP,9.30E-05,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0043589,skin morphogenesis,BP,9.30E-05,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0001957,intramembranous ossification,BP,1.20E-04,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0001957,intramembranous ossification,BP,1.20E-04,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0001957,intramembranous ossification,BP,1.20E-04,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G009708,Ocupat_v02_G009708,GO:0010269,response to selenium ion,BP,1.30E-04,2,Sep15_SelM,4.70E-02,1,Sep15_SelM,Sep15_SelM(4.7E-02),Selenom
ACROYT_G040216,Ocupat_v02_G040216,GO:0010269,response to selenium ion,BP,1.30E-04,2,NA,NA,NA,NA,NA,Selenov/Selenow
ACROYT_G024108,Ocupat_v02_G024108,GO:0007605,sensory perception of sound,BP,1.40E-04,5,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0007605,sensory perception of sound,BP,1.40E-04,5,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0007605,sensory perception of sound,BP,1.40E-04,5,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G006059,Ocupat_v02_G006059,GO:0007605,sensory perception of sound,BP,1.40E-04,5,Sprouty,4.70E-02,1,Sprouty,Sprouty(4.7E-02),Spry1/Spry2/Spry3/Spry4
ACROYT_G024293,Ocupat_v02_G024293,GO:0007605,sensory perception of sound,BP,1.40E-04,5,zf-C2H2,6.80E-01,2,zf-C2H2,Gln-synt_N(2.4E-02);Gln-synt_C(2.4E-02),Glul
ACROYT_G024111,Ocupat_v02_G024111,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,Collagen,4.50E-04,14,Collagen,Collagen(4.5E-04),Cthrc1
ACROYT_G011859,Ocupat_v02_G011859,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,Collagen,4.50E-04,14,Collagen,Collagen(4.5E-04),Cthrc1
ACROYT_G024095,Ocupat_v02_G024095,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G008523,Ocupat_v02_G008523,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,HLH,4.40E-01,1,HLH,Phospholip_B(7.9E-03),HLH:Id1/Id2/Id3/Id4
ACROYT_G024293,Ocupat_v02_G024293,GO:0001649,osteoblast differentiation,BP,1.80E-04,7,zf-C2H2,6.80E-01,2,zf-C2H2,Raptor_N(2.4E-02),Rptor
ACROYT_G024115,Ocupat_v02_G024115,GO:0034505,tooth mineralization,BP,2.00E-04,3,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024108,Ocupat_v02_G024108,GO:0034505,tooth mineralization,BP,2.00E-04,3,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0034505,tooth mineralization,BP,2.00E-04,3,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G006917,Ocupat_v02_G006917,GO:0004046,aminoacylase activity,MF,2.40E-04,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G006903,Ocupat_v02_G006903,GO:0004046,aminoacylase activity,MF,2.40E-04,2,Catalase,1.40E-03,2,Catalase Catalase-rel,Catalase(1.4E-03);Catalase-rel(1.4E-03),Cat
ACROYT_G024108,Ocupat_v02_G024108,GO:0048706,embryonic skeletal system development,BP,2.50E-04,5,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0048706,embryonic skeletal system development,BP,2.50E-04,5,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024095,Ocupat_v02_G024095,GO:0048706,embryonic skeletal system development,BP,2.50E-04,5,Collagen,4.50E-04,14,Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G006781,Ocupat_v02_G006781,GO:0048706,embryonic skeletal system development,BP,2.50E-04,5,wnt,2.40E-01,1,wnt,,Wnt8a/Wnt8b/Wnt9a/Wnt9b
ACROYT_G001493,Ocupat_v02_G001493,GO:0048706,embryonic skeletal system development,BP,2.50E-04,5,NA,NA,NA,NA,NA,Gas1
ACROYT_G006710,Ocupat_v02_G006710,GO:0015485,cholesterol binding,MF,3.60E-04,3,Porin_3,4.70E-02,1,Porin_3,Porin_3(4.7E-02),Vdac1/Vdac2/Vdac3
ACROYT_G006589,Ocupat_v02_G006589,GO:0015485,cholesterol binding,MF,3.60E-04,3,TspO_MBR,4.70E-02,1,TspO_MBR,TspO_MBR(4.7E-02),Tspo/Tspo2
ACROYT_G030363,Ocupat_v02_G030363,GO:0015485,cholesterol binding,MF,3.60E-04,3,NA,NA,NA,NA,NA,Npc1/Npc1l1
ACROYT_G024108,Ocupat_v02_G024108,GO:0042802,identical protein binding,MF,3.60E-04,21,Collagen,4.50E-04,14,VWA Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
ACROYT_G024115,Ocupat_v02_G024115,GO:0042802,identical protein binding,MF,3.60E-04,21,Collagen,4.50E-04,14,WAP Collagen COLFI,Collagen(4.5E-04);COLFI(2.4E-03);WAP(8.8E-03),Col1a1/Col1a2/Col2a1/Col3a1/Col5a2
