id	gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
ACROYT_G040180	Ocupat_v02_G040180	Car10/Car11	Carb_anhydrase/Collagen/Carb_anhydrase	59177	96.25	126.55	no
ACROYT_G040168	Ocupat_v02_G040168	Car10/Car11	Carb_anhydrase/Carb_anhydrase	30604	96.81	99.49	no
ACROYT_G017116	Ocupat_v02_G017116		Peptidase_M15_4	17280	86.41	77.42	no
ACROYT_G040178	Ocupat_v02_G040178	Car10/Car11	Carb_anhydrase/Carb_anhydrase	18370	96.09	77.12	no
ACROYT_G022773	Ocupat_v02_G022773			13132	93.42	62.21	no
ACROYT_G040177	Ocupat_v02_G040177	Car10/Car11	Carb_anhydrase/Carb_anhydrase	12585	96.15	47.42	no
ACROYT_G036353	Ocupat_v02_G036353			6332	96.61	45.45	no
ACROYT_G017155	Ocupat_v02_G017155			7359	95.3	40.25	no
ACROYT_G022622	Ocupat_v02_G022622			7217	94.76	38.97	no
ACROYT_G036541	Ocupat_v02_G036541			24622	91.95	28.88	no
ACROYT_G033194	Ocupat_v02_G033194		F5_F8_type_C/TSP_1/TSP_1/TSP_1/TSP_1/VWA/VWA/TSP_1/F5_F8_type_C	3559	95.13	26.18	no
ACROYT_G022595	Ocupat_v02_G022595			4728	94.54	23.35	no
ACROYT_G040183	Ocupat_v02_G040183	Fbln2	CAP/CAP/TSP_1/CUB/CUB/TSP_1/TSP_1/TSP_1/TSP_1/NIDO/VWD/EGF_CA/EGF_CA/EGF_CA	2424	93.02	18.79	no
ACROYT_G044758	Ocupat_v02_G044758	Lipc/Lipg/Liph/Lipi/Lpl/Pla1a/Pnlip/Pnliprp1/Pnliprp2	Lipase	2152	91.77	16.99	no
ACROYT_G022607	Ocupat_v02_G022607			11648	93.89	16.69	no
ACROYT_G002214	Ocupat_v02_G002214		DUF3504	2024	81.55	14.04	no
ACROYT_G040173	Ocupat_v02_G040173	Car10/Car11	Carb_anhydrase/Carb_anhydrase	2782	97	12.41	no
ACROYT_G022617	Ocupat_v02_G022617			1581	96.34	11.55	no
ACROYT_G031970	Ocupat_v02_G031970			6702	94.25	11.08	no
ACROYT_G022611	Ocupat_v02_G022611			3164	92.06	10.79	no
ACROYT_G030200	Ocupat_v02_G030200			2298	20.3	10.62	no
ACROYT_G031972	Ocupat_v02_G031972			5240	94.53	10.51	no
ACROYT_G022598	Ocupat_v02_G022598			3208	90.21	10.42	no
ACROYT_G020664	Ocupat_v02_G020664		VWA	1296	95.58	10.16	no
ACROYT_G012660	Ocupat_v02_G012660			2000	96.39	10.06	no
ACROYT_G038170	Ocupat_v02_G038170	Dbh/Moxd1/Moxd2	DOMON	917	95.22	10.01	no
ACROYT_G038036	Ocupat_v02_G038036			1873	35.93	9.96	no
ACROYT_G036243	Ocupat_v02_G036243	Slc4a1/Slc4a2/Slc4a3	Band_3_cyto/HCO3_cotransp/HCO3_cotransp	1379	81.21	9.8	no
ACROYT_G039279	Ocupat_v02_G039279			1646	96.6	9.43	no
ACROYT_G040394	Ocupat_v02_G040394		PDZ/PDZ	1149	41.38	9.4	no
ACROYT_G041680	Ocupat_v02_G041680			1659	91	9.3	no
ACROYT_G040174	Ocupat_v02_G040174	Car10/Car11	Carb_anhydrase/Carb_anhydrase	2939	96.36	8.96	no
ACROYT_G009910	Ocupat_v02_G009910		CAP	1180	96.25	8.81	no
ACROYT_G035479	Ocupat_v02_G035479	Crtac1	VCBS/VCBS/VCBS/UnbV_ASPIC/Big_9/An_peroxidase	962	88.99	8.53	no
ACROYT_G022771	Ocupat_v02_G022771			20727	95.11	8.22	no
ACROYT_G031969	Ocupat_v02_G031969			2879	93.44	8.05	no
ACROYT_G022376	Ocupat_v02_G022376			1357	95.03	7.58	no
ACROYT_G022769	Ocupat_v02_G022769			25648	95.18	7.57	no
ACROYT_G009913	Ocupat_v02_G009913		ShK/ShK	839	94.38	7.38	no
ACROYT_G009917	Ocupat_v02_G009917	Cilp/Cilp2/Thsd1	I-set	863	92.3	7.35	no
ACROYT_G026728	Ocupat_v02_G026728			1372	90.26	7.28	no
ACROYT_G023100	Ocupat_v02_G023100	Mmp23	PG_binding_1/Peptidase_M10	743	94.77	7.13	no
ACROYT_G029751	Ocupat_v02_G029751	Homeodomains:like:Barx1/Barx2/Bsx/Dbx1/Dbx2/Emx1/Emx2/Hhex/Hlx/Nanog/Noto/Vax1/Vax2	Homeodomain	876	87.25	6.93	yes
ACROYT_G029328	Ocupat_v02_G029328		I-set/fn3/fn3	1145	36.92	6.87	no
ACROYT_G034902	Ocupat_v02_G034902			857	66.54	6.77	no
ACROYT_G020577	Ocupat_v02_G020577	Lhfpl3/Lhfpl4/Lhfpl5	L_HMGIC_fpl	786	91.18	6.76	no
ACROYT_G002575	Ocupat_v02_G002575			1155	90.52	6.75	no
ACROYT_G022567	Ocupat_v02_G022567			1042	35.08	6.74	no
