gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G028790		Macin	19317	59.49	289.42	no
Ocupat_v02_G000642			3238	83.78	90.88	no
Ocupat_v02_G040803	Ly6m/Lynx1/Psca/Slurp2		12973	93.47	84.84	no
Ocupat_v02_G019851		GDPD	4655	86.43	70.26	no
Ocupat_v02_G026088		ig/ApeC	1567	84.61	44.74	no
Ocupat_v02_G017116		Peptidase_M15_4	1630	8.15	28.06	no
Ocupat_v02_G030264			1062	20.16	26.15	no
Ocupat_v02_G006845			2168	7.49	20.41	no
Ocupat_v02_G006190		Sod_Cu/Sod_Cu	941	46.47	14.4	no
Ocupat_v02_G024792			448	87.67	13.58	no
Ocupat_v02_G037280			1020	4.57	13.5	no
Ocupat_v02_G009219	Plbd1/Plbd2	Phospholip_B	886	14.15	13.08	no
Ocupat_v02_G005424	Bpi/Bpifb2/Bpifb3/Bpifb4/Bpifc/Lbp/Pltp	LBP_BPI_CETP/LBP_BPI_CETP_C	384	35.1	12.65	no
Ocupat_v02_G009253			2349	8.04	12.44	no
Ocupat_v02_G019854	Cp/Heph/Hephl1	Cu-oxidase_3/Cu-oxidase_2/Cu-oxidase_3/Cu-oxidase_2/Cu-oxidase_3/Cu-oxidase_2	416	40	11.33	no
Ocupat_v02_G013291	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	487	35.63	11.18	no
Ocupat_v02_G012528	IRF:like:Irf3/Irf4/Irf5/Irf6/Irf7/Irf8/Irf9	IRF/IRF-3	329	37.69	10.97	yes
Ocupat_v02_G034371			499	8.1	10.97	no
Ocupat_v02_G037718	Bcl10/Card10/Card11/Card14/Card9	CARD	309	50.91	10.87	no
Ocupat_v02_G035718			438	24.09	10.49	no
Ocupat_v02_G037115	Ets:like:Ehf/Elf1/Elf2/Elf3/Elf4/Elf5/Elk1/Elk3/Elk4/Erf/Erfl/Erg/Ets1/Ets2/Etv1/Etv2/Etv3/ETV3L/Etv4/Etv5/Etv6/Fev/Fli1/Gabpa/Spdef/Spi1/Spib/Spic	Ets	786	12.83	8.92	yes
Ocupat_v02_G041579	Epdr1		1377	1.39	8.88	no
Ocupat_v02_G007846	Ly6m/Lynx1/Psca/Slurp2		2134	29.52	8.77	no
Ocupat_v02_G019874			245	86.27	8.67	no
Ocupat_v02_G040428		Peptidase_C1	509	10.18	8.59	no
Ocupat_v02_G013292	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	1229	1.9	8.43	no
Ocupat_v02_G004573	Scpep1	Peptidase_S10	383	10.38	7.96	no
Ocupat_v02_G039401	Spon2	Spond_N/Spond_N	319	2.59	7.83	no
Ocupat_v02_G023635		PDZ/PDZ	208	36.43	7.37	no
Ocupat_v02_G043709	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	331	26.27	6.84	no
Ocupat_v02_G007945	Ms4a4a/Ms4a4b/Ms4a8a/Tmem196		199	68.62	6.82	no
Ocupat_v02_G036567	Ctsd/Napsa/Ren1	A1_Propeptide/Asp	1003	5.67	6.75	no
Ocupat_v02_G004026			199	35.79	6.64	no
Ocupat_v02_G006309		Pur_ac_phosph_N/Metallophos/Metallophos_C	185	37.68	6.62	no
Ocupat_v02_G029826			445	10.07	6.58	no
Ocupat_v02_G007569	Prrt2/Syndig1/Syndig1l/Tmem233/Tmem91/Trarg1	CD225	181	11.99	6.44	no
Ocupat_v02_G004012			194	81.51	6.39	no
Ocupat_v02_G001555			289	10.47	6.39	no
Ocupat_v02_G002489			391	83.55	6.3	no
Ocupat_v02_G038342	Acta1/Acta2/Actb/Actbl2/Actc1/Actg1/Actg2	Actin	7605	9.39	6.3	no
Ocupat_v02_G000645		LRR_8	168	83.58	6.29	no
Ocupat_v02_G012446	IRF:like:Irf3/Irf4/Irf5/Irf6/Irf7/Irf8/Irf9	IRF	171	38.78	6.25	yes
Ocupat_v02_G009783			227	11.31	6.09	no
Ocupat_v02_G004375			181	30.68	6.01	no
Ocupat_v02_G009265		PX/SH3_9/SH3_1/SH3_2/SH2	199	17.99	5.94	no
Ocupat_v02_G026718		Tubulin/Tubulin_C	180	4.1	5.69	no
Ocupat_v02_G030337			276	12.91	5.58	no
Ocupat_v02_G031187		GPS/7tm_2	146	19.84	5.57	no
Ocupat_v02_G009444	HLH:like:Myc/Mycl/Mycn/Mycs	Myc_N/HLH	537	9.2	5.48	yes
Ocupat_v02_G039388	Cfl1/Cfl2/Dstn	Cofilin_ADF	2013	6.6	5.33	no
Ocupat_v02_G039792		Zona_pellucida	141	5.09	5.05	no
Ocupat_v02_G026087	Tirap	ig/TIR_2	131	40.31	5.03	no
Ocupat_v02_G033122	Ets:Ehf/Elf3/Elf5	Ets	182	7.02	4.8	yes
Ocupat_v02_G004583			130	76.47	4.76	no
Ocupat_v02_G031015	IRF:like:Irf1/Irf2	IRF	159	9.45	4.74	yes
Ocupat_v02_G029825			984	3.69	4.69	no
Ocupat_v02_G006252	Ctsz	Peptidase_C1	934	3.88	4.48	no
Ocupat_v02_G040025			107	14.08	4.45	no
Ocupat_v02_G039775	Rnaset2a/Rnaset2b	Ribonuclease_T2	170	8.79	4.42	no
Ocupat_v02_G021795	Ginm1		324	5.77	4.3	no
Ocupat_v02_G001722			446	7.41	4.26	no
Ocupat_v02_G013304	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	635	2.36	4.22	no
Ocupat_v02_G003806	Aif1/Aif1l	EF-hand_7	721	4.38	4.16	no
Ocupat_v02_G003796			124	7.97	4.11	no
Ocupat_v02_G003713			965	4.15	4.1	no
Ocupat_v02_G005815			99	25.85	4.07	no
Ocupat_v02_G016251	Lcp1/Pls1/Pls3	EF-hand_7/CH/CH/CH/CH	410	5.29	4.07	no
Ocupat_v02_G011805	Dbh/Moxd1/Moxd2	DOMON/Cu2_monooxygen/Cu2_monoox_C	147	14.26	3.99	no
Ocupat_v02_G019981		DUF4728	96	13.54	3.95	no
