Coral,Colony,Depth,T0 area Cm^2,Tend area cm^2,growrth_cm^2,surface area_cm^2,protein_ug_ml,chlorophyl_ml,chlorophyl_sample,zoox_cm^2,chlorophyl_cm^2,chlorophyl_ug_algea
1,1,10,10.802,25.667,14.865,5.304,385.6,0.874152867,4.370764333,2262295.082,2262295.082,0.00000036423
2,3,10,9.005,9.698,0.693,4.652,502.6,1.127593033,5.637965167,2493457.944,2493457.944,0.000000486031
3,2,10,12.809,18.073,5.264,2.261,270.2666667,0.823522933,4.117614667,1179487.179,1179487.179,0.00000154411
4,5,10,14.374,16.744,2.37,1.826,251.6,0.7281996,3.640998,1752380.952,1752380.952,0.00000113781
5,4,10,18.995,19.068,0.073,2.261,183.6,0.7158399,3.5791995,1887179.487,1887179.487,0.000000838875
6,6,10,10.443,11.739,1.296,2.913,342.9333333,0.7842887,3.9214435,961194.0299,961194.0299,0.00000140052
7,1,25,19.711,28.737,9.026,4.87,307.6,0.693423,3.467115,629761.9048,629761.9048,0.00000113058
8,3,25,13.688,3.257,-10.431,,,,,,,
9,2,25,13.073,4.663,-8.41,1.609,205.6,0.7435536,3.717768,1326126.126,1326126.126,0.0000017427
10,5,25,14.064,4.023,-10.041,,,,,,,
,,25,16.201,,,,,,,,,
11,6,25,11.132,12.461,1.329,1.174,108.2666667,0.805137767,4.025688833,1022222.222,1022222.222,0.00000335474
12,1,45,9.038,13.7,4.662,2.478,224.9333333,0.7540226,3.770113,591812.8655,591812.8655,0.00000257053
13,3,45,5.466,7.519,2.053,0.739,114.9333333,0.729754933,3.648774667,3066666.667,3066666.667,0.00000160975
14,2,45,7.255,9.949,2.694,2.261,172.2666667,0.7292787,3.6463935,1179487.179,1179487.179,0.0000013674
15,5,45,8.223,6.737,-1.486,2.913,203.6,0.9428558,4.714279,1418905.473,1418905.473,0.00000114055
16,4,45,8.693,9.161,0.468,4.652,204.9333333,0.788792433,3.943962167,573208.7227,573208.7227,0.00000147899
17,6,45,3.795,4.684,0.889,0.522,63.6,0.6835341,3.4176705,766666.6667,766666.6667,0.00000854418
