gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G007616	Ly6m/Lynx1/Psca/Slurp2		8106	74.21	186.88	no
Ocupat_v02_G042045	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		3575	92.98	99.1	no
Ocupat_v02_G038357	Acta1/Acta2/Actb/Actbl2/Actc1/Actg1/Actg2	Actin	3334	45.39	56.28	no
Ocupat_v02_G009032	Ly6m/Lynx1/Psca/Slurp2		3142	92.38	53.54	no
Ocupat_v02_G003600	Lect2	Peptidase_M23/Peptidase_M23	1841	92.93	50.47	no
Ocupat_v02_G026718		Tubulin/Tubulin_C	1326	30.18	35.46	no
Ocupat_v02_G021715			1779	7.64	33.16	no
Ocupat_v02_G013035	Cthrc1	Collagen/Collagen	1487	89.85	31.74	no
Ocupat_v02_G002400			947	87.28	28.99	no
Ocupat_v02_G004720		COLFI/COLFI	861	49.74	24.7	no
Ocupat_v02_G004737		COLFI/COLFI	707	68.64	24.25	no
Ocupat_v02_G044525	Lipc/Lipg/Liph/Lipi/Lpl/Pla1a/Pnlip/Pnliprp1/Pnliprp2	Lipase	750	88.13	23.92	no
Ocupat_v02_G003806	Aif1/Aif1l	EF-hand_7	3350	20.34	21.46	no
Ocupat_v02_G037280			1388	6.22	18.95	no
Ocupat_v02_G004735		Collagen/COLFI/COLFI	588	65.55	18.41	no
Ocupat_v02_G008596			1819	3.26	18.41	no
Ocupat_v02_G036901			638	42.28	18.04	no
Ocupat_v02_G011543		Lipase_3	526	21.45	16.56	no
Ocupat_v02_G028517		ig/Pkinase_Tyr	456	47.9	14.74	no
Ocupat_v02_G004736		COLFI/COLFI	444	39.12	14.46	no
Ocupat_v02_G041579	Epdr1		2142	2.17	14.33	no
Ocupat_v02_G026613			397	83.76	13.25	no
Ocupat_v02_G007981	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	622	88.1	12.74	no
Ocupat_v02_G003438	AI182371/C3/C4b/Hc	MG1/MG2/MG3/MG4/A2M_BRD/A2M/TED_complement/A2M_recep/NTR	704	8.08	12.41	no
Ocupat_v02_G027554			1001	10.38	12.27	no
Ocupat_v02_G040428		Peptidase_C1	688	13.76	11.93	no
Ocupat_v02_G027140	Ly6h	UPAR_LY6	401	87.17	11.84	no
Ocupat_v02_G019851		GDPD	406	7.54	11.66	no
Ocupat_v02_G007987	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	362	76.69	11.59	no
Ocupat_v02_G012632			362	32.94	11.56	no
Ocupat_v02_G024297		CH	328	81.39	11.55	no
Ocupat_v02_G004023		E1_DerP2_DerF2	341	83.17	10.42	no
Ocupat_v02_G007985	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	382	66.78	10.34	no
Ocupat_v02_G031598	Cnmd/Tnmd	BRICHOS	1247	78.68	10.34	no
Ocupat_v02_G008030	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	337	59.02	9.92	no
Ocupat_v02_G018011			416	13.26	9.83	no
Ocupat_v02_G001561			299	69.53	9.46	no
Ocupat_v02_G032009	Ctsb	Peptidase_C1	1574	2.76	9.37	no
Ocupat_v02_G037024		SEFIR	235	45.19	8.86	no
Ocupat_v02_G018997	Cav2	Caveolin	378	61.66	8.84	no
Ocupat_v02_G034129	Itln1	COLFI/COLFI	295	85.26	8.49	no
Ocupat_v02_G006845			1090	3.77	8.48	no
Ocupat_v02_G016000	HLH:like:Id1/Id2/Id3/Id4	HLH	234	18.35	8.2	yes
Ocupat_v02_G024003	Col26a1/Emid1/Emilin1/Emilin2/Emilin3/Mmrn2	EMI/Collagen	261	15.56	8.2	no
Ocupat_v02_G002097		EGF/EGF/Sushi/Sushi/Sushi/VWA/Trypsin	349	32.53	8.09	no
Ocupat_v02_G011939	Garem1/Garem2	CABIT	198	79.52	7.82	no
Ocupat_v02_G043709	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	594	47.14	7.75	no
Ocupat_v02_G036567	Ctsd/Napsa/Ren1	A1_Propeptide/Asp	1113	6.29	7.56	no
Ocupat_v02_G008179		Fibrinogen_C/Gal_Lectin	273	11.48	7.5	no
Ocupat_v02_G020134	Gp2/Oit3/Umod		235	84.53	7.47	no
Ocupat_v02_G001555			339	12.28	7.41	no
Ocupat_v02_G032254	IRF:like:Irf1/Irf2	IRF	205	22.16	7.2	yes
Ocupat_v02_G031015	IRF:like:Irf1/Irf2	IRF	274	16.28	7.14	yes
Ocupat_v02_G000688			305	73.49	7.07	no
Ocupat_v02_G011716	Rab30	Ras	196	19.25	7.01	no
Ocupat_v02_G037718	Bcl10/Card10/Card11/Card14/Card9	CARD	187	30.81	7	no
Ocupat_v02_G038127		Tropomyosin	216	14.78	6.97	no
Ocupat_v02_G008318	Ly6g6d	UPAR_LY6_2	671	4.01	6.81	no
Ocupat_v02_G012616	Agrn/Cntnap1/Cntnap2/Cntnap3/Cntnap4/Cntnap5a/Cntnap5b/Cntnap5c	Lectin_C/EGF_CA/EGF_CA/EGF_CA/EGF_CA/Fibrinogen_C	193	63.07	6.77	no
Ocupat_v02_G020129	Gp2/Oit3/Umod		230	81.27	6.74	no
Ocupat_v02_G020142	Cd93/Chodl/Layn	Lectin_C/Lectin_C	201	92.2	6.61	no
Ocupat_v02_G035749		Tubulin/Tubulin_C	190	11.61	6.61	no
Ocupat_v02_G022234	Epha1/Epha10/Epha2/Epha3/Epha4/Epha5/Epha6/Epha7/Epha8/Ephb1/Ephb2/Ephb3/Ephb4/Ephb6	Ephrin_lbd/fn3/fn3/Pkinase_Tyr/SAM_1	198	73.88	6.46	no
Ocupat_v02_G044228			584	3	6.42	no
Ocupat_v02_G004730		COLFI/Collagen/Collagen/COLFI	169	57.88	6.31	no
Ocupat_v02_G037991	Acta1/Acta2/Actb/Actbl2/Actc1/Actg1/Actg2	Actin	503	2.67	6.27	no
Ocupat_v02_G013292	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	1331	2.05	6.21	no
Ocupat_v02_G009031		GPP34	166	7.96	5.95	no
