gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G025143		CBM_14/TSP_1/CBM_14	1925	46.36	14.29	no
Ocupat_v02_G007448		PhoD	10760	69.17	7.58	no
Ocupat_v02_G010213			716	32.38	6.47	no
Ocupat_v02_G034016			559	65.84	6.35	no
Ocupat_v02_G008531	Mamdc2	Astacin/TSP_1/MAM	472	67.53	6	no
Ocupat_v02_G020396			6185	66.66	5.94	no
Ocupat_v02_G008929			4248	29.23	5.82	no
Ocupat_v02_G026844	Ly6m/Lynx1/Psca/Slurp2		597	6.57	5.48	no
Ocupat_v02_G017648			512	30.96	5.21	no
Ocupat_v02_G025402	Ets:Etv1/Etv4/Etv5	ETS_PEA3_N/Ets	107	14.06	4.93	yes
Ocupat_v02_G036329	Forkhead:Foxa1/Foxa2/Foxa3	Forkhead_N/Forkhead	115	7.99	4.86	yes
Ocupat_v02_G022567			84	2.83	4.81	no
Ocupat_v02_G020400			3584	81.66	4.77	no
Ocupat_v02_G027359		SRCR	2955	56.58	4.77	no
Ocupat_v02_G013512	Calm4	EF-hand_7/EF-hand_7/EF-hand_7/EF-hand_7	161	3.5	4.45	no
Ocupat_v02_G006778	Ly6h		767	87.06	4.35	no
Ocupat_v02_G018858			109	3.71	4.29	no
Ocupat_v02_G020403			2912	62.87	4.27	no
Ocupat_v02_G010094			11911	85.33	4.18	no
Ocupat_v02_G037206		Cyclase	106	5.17	4.09	no
Ocupat_v02_G039628			909	76.64	4.08	no
Ocupat_v02_G027726		Pep_M12B_propep/Reprolysin_5/ADAM_CR_2/TSP_1/TSP1_ADAMTS/TSP1_ADAMTS/TSP1_ADAMTS/EGF/EGF	335	63.81	3.95	no
Ocupat_v02_G009000	HMGbox_Sox:Sox4/Sox11/Sox12	HMG_box	70	4.14	3.92	yes
Ocupat_v02_G005392	Cpeb2/Cpeb3/Cpeb4	RRM_7/CEBP_ZZ	82	4.39	3.8	no
Ocupat_v02_G008154	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	373	48.07	3.8	no
Ocupat_v02_G004124			216	73.47	3.7	no
Ocupat_v02_G020394			23823	96.3	3.45	no
