id	gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
ACROYT_G009087	Ocupat_v02_G009087	Rrm2/Rrm2b	Ribonuc_red_sm	2718	75.63	55.83	no
ACROYT_G033217	Ocupat_v02_G033217			8979	77.35	53.33	no
ACROYT_G030200	Ocupat_v02_G030200			2194	19.38	39.54	no
ACROYT_G031642	Ocupat_v02_G031642	H2ab1/H2ab2/H2ab3/Macroh2a1/Macroh2a2	Histone/Histone_H2A_C	2618	34.78	19.68	no
ACROYT_G033020	Ocupat_v02_G033020			2049	91.39	18.06	no
ACROYT_G041676	Ocupat_v02_G041676			2403	53.94	16.87	no
ACROYT_G007756	Ocupat_v02_G007756	Ly6m/Lynx1/Psca/Slurp2		980	4.01	16.29	no
ACROYT_G043026	Ocupat_v02_G043026	Nalcn	Ion_trans/Ion_trans/Ion_trans/Ion_trans	634	61.85	15.25	no
ACROYT_G037280	Ocupat_v02_G037280			1871	8.38	13.88	no
ACROYT_G039401	Ocupat_v02_G039401	Spon2	Spond_N/Spond_N	837	6.8	13.29	no
ACROYT_G021421	Ocupat_v02_G021421		Gla/F5_F8_type_C/fn2	866	83.27	12.16	no
ACROYT_G010414	Ocupat_v02_G010414		53-BP1_Tudor	586	39.12	11.09	no
ACROYT_G005307	Ocupat_v02_G005307	Cdca2/Mki67	FHA/PP1_bind	388	72.12	11.06	no
ACROYT_G041984	Ocupat_v02_G041984	H1f0	Linker_histone	400	52.42	10.55	no
ACROYT_G019824	Ocupat_v02_G019824	Rrm1	ATP-cone/Ribonuc_red_lgN/Ribonuc_red_lgC	480	48.58	10.35	no
ACROYT_G019542	Ocupat_v02_G019542	Cenpf		368	58.23	10.2	no
ACROYT_G025825	Ocupat_v02_G025825			346	8.92	9.75	no
ACROYT_G000362	Ocupat_v02_G000362	H3c1/H3c10/H3c11/H3c13/H3c14/H3c15/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8	Histone	420	54.26	9.69	no
ACROYT_G041682	Ocupat_v02_G041682			835	60.25	9.61	no
ACROYT_G027915	Ocupat_v02_G027915	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	572	6.91	9.35	no
ACROYT_G017381	Ocupat_v02_G017381	Pcna	PCNA_N/PCNA_C	671	28.25	8.96	no
ACROYT_G028553	Ocupat_v02_G028553	Smc4	SMC_N/SMC_hinge	350	20.66	8.15	no
ACROYT_G008240	Ocupat_v02_G008240		ShK/ShK/ShK/ShK/ShK/ShK/ShK/ShK	334	45.88	7.87	no
ACROYT_G002192	Ocupat_v02_G002192	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	266	5.7	7.48	no
ACROYT_G043168	Ocupat_v02_G043168	Smc2	SMC_N/SMC_hinge	241	36.52	6.63	no
ACROYT_G001680	Ocupat_v02_G001680	Cks1b/Cks1brt	CKS	299	63.62	6.6	no
ACROYT_G037110	Ocupat_v02_G037110		XendoU/Trefoil/Trefoil	997	36.53	6.57	no
ACROYT_G010716	Ocupat_v02_G010716	D8Ertd738e	DUF2462	296	20.76	6.45	no
ACROYT_G012516	Ocupat_v02_G012516	Ube2c	UQ_con	267	38.2	6.38	no
ACROYT_G000290	Ocupat_v02_G000290			798	5.44	6.37	no
ACROYT_G040979	Ocupat_v02_G040979	Dhcr7/Lbr/Tm7sf2	LBR_tudor/ERG4_ERG24	200	50.25	6.19	no
ACROYT_G000999	Ocupat_v02_G000999	Wdr41	WD40/WD40	185	39.19	6.11	no
ACROYT_G032198	Ocupat_v02_G032198	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	367	8.03	6.03	no
ACROYT_G011871	Ocupat_v02_G011871	Tpx2	TPX2_importin/TPX2/TPX2	203	56.23	5.82	no
ACROYT_G006387	Ocupat_v02_G006387	Incenp	INCENP_ARK-bind	202	62.35	5.72	no
ACROYT_G043032	Ocupat_v02_G043032	H1f0	Linker_histone	203	81.2	5.72	no
ACROYT_G006757	Ocupat_v02_G006757	Cdk1	Pkinase	248	69.86	5.71	no
ACROYT_G039044	Ocupat_v02_G039044	Tk1	TK	197	52.96	5.61	no
ACROYT_G008979	Ocupat_v02_G008979	Armc1		223	75.59	5.33	no
ACROYT_G005718	Ocupat_v02_G005718	Prc1	MAP65_ASE1	166	52.87	5.17	no
ACROYT_G011819	Ocupat_v02_G011819			370	17.11	5.11	no
ACROYT_G035417	Ocupat_v02_G035417	Top2a/Top2b	HATPase_c/DNA_gyraseB/Toprim/TOPRIM_C/DNA_topoisoIV	203	33.95	5.04	no
ACROYT_G037002	Ocupat_v02_G037002	Kifc1/Kifc5b	Kinesin	178	54.77	4.99	no
ACROYT_G033021	Ocupat_v02_G033021			794	90.64	4.93	no
ACROYT_G007708	Ocupat_v02_G007708	Kif23	Kinesin/MKLP1_Arf_bdg	156	55.71	4.91	no
ACROYT_G011372	Ocupat_v02_G011372	Aurka/Aurkb/Aurkc	Pkinase	169	78.6	4.85	no
ACROYT_G009200	Ocupat_v02_G009200			232	84.36	4.82	no
ACROYT_G037172	Ocupat_v02_G037172		Spo12	154	47.68	4.79	no
ACROYT_G013715	Ocupat_v02_G013715		IBB/Arm/Arm/Arm/Arm/Arm/Arm/Arm_3	157	47.87	4.76	no
ACROYT_G003654	Ocupat_v02_G003654	Bsph2	fn2	626	40	4.66	no
ACROYT_G010416	Ocupat_v02_G010416		53-BP1_Tudor	171	50.59	4.64	no
ACROYT_G001909	Ocupat_v02_G001909	Pclaf	PAF	155	52.19	4.58	no
ACROYT_G002586	Ocupat_v02_G002586	Ccnb1/Ccnb2	Cyclin_N/Cyclin_C	131	57.71	4.56	no
ACROYT_G017590	Ocupat_v02_G017590		VWA	287	35.3	4.52	no
ACROYT_G027141	Ocupat_v02_G027141	Ly6h	UPAR_LY6	172	8.04	4.51	no
ACROYT_G035139	Ocupat_v02_G035139	Nusap1	NUSAP	173	73.62	4.51	no
ACROYT_G008899	Ocupat_v02_G008899	Dek	DEK_C	217	12.49	4.48	no
ACROYT_G027149	Ocupat_v02_G027149	Ly6h	UPAR_LY6	153	8.44	4.48	no
ACROYT_G021489	Ocupat_v02_G021489	Slc28a1/Slc28a2/Slc28a2b/Slc28a3	Nucleos_tra2_N/Gate/Nucleos_tra2_C/Nucleos_tra2_C	233	16.2	4.47	no
ACROYT_G041901	Ocupat_v02_G041901	Banf1/Banf2	BAF	420	9.11	4.44	no
